id,cast,cinematographer,costume department,director,editor,genres,language,rating,producer,writer,distributor
0075376,Edward Schaaf,Russ Meyer,Roschu,Russ Meyer,Russ Meyer,Comedy,English,6.1,George K. Carll,Russ Meyer,Bio-Tide Films (I)
0106223,Elijah Wood,Janusz Kaminski,Patricia K. Armagast,Stephen Sommers,Bob Ducsay,Adventure,English,6.1,John Baldecchi,Mark Twain,Buena Vista International (Sweden)
0420238,Matthew Broderick,Brad Blackbourn,null,Sam Fell,Mark Solomon,Adventure,English,6.1,Robin Bissell,Kate DiCamillo,Universal Pictures International (UPI)
0042664,Hedy Lamarr,Paul Vogel,null,Joseph H. Lewis,Fredrick Y. Smith,Crime,English,6.1,Samuel Marx,Howard Dimsdale,Metro-Goldwyn-Mayer (MGM)
0023625,Constance Bennett,Charles Rosher,null,Archie Mayo,Herbert I. Leeds,Drama,English,6.1,Lucien Hubbard,Marion Dix,Warner Bros.
0843850,Josh Diamond,Tom Clancey,Ryan Lennon,Justin Lin,Greg Louie,Comedy,English,6.1,Julie Asato,Josh Diamond,IFC Films
0033530,Boris Karloff,Allen G. Siegler,null,Edward Dmytryk,Al Clark,Horror,English,6.1,Wallace MacDonald,Robert Hardy Andrews,Columbia Pictures Corporation
0116192,Norman Rodway,Frederick Elmes,null,Barry J. Hershey,Marc Grossman,Drama,English,6.1,William Dance,R. Buckingham,Lions Gate Films
0064621,Katharine Hepburn,Burnett Guffey,null,Bryan Forbes,Roger Dwyre,Comedy,English,6.1,Ely A. Landau,Edward Anhalt,Warner Brothers/Seven Arts
0954947,Casey Affleck,Marcel Zyskind,Hannah Ainsley,Michael Winterbottom,Mags Arnold,Crime,English,6.1,Lilly Bright,John Curran,Future Film
0963966,Nicolas Cage,Bojan Bazelli,Megan Asbee,Jon Turteltaub,William Goldenberg,Action,English,6.1,Cecile Leroy Beaulieu,Lawrence Konner,Walt Disney Studios Motion Pictures
0053717,Anton Diffring,Douglas Slocombe,Vi Murray,Sidney Hayers,Reginald Mills,Horror,English,6.1,Samuel Z. Arkoff,George Baxt,American International Pictures (AIP)
3186318,Aaron Paul,Brett Pawlak,Summer Barnett,Kat Candler,Alan Canant,Drama,English,6.1,Janice Beard,Kat Candler,Sundance Selects
0064602,Sidney Poitier,Gerald Perry Finnerman,Tom Bronson,Robert Alan Aurthur,Edward Mann,Drama,English,6.1,Edward Muhl,Robert Alan Aurthur,Universal Pictures
0037313,Frank Sinatra,Robert De Grasse,null,Tim Whelan,Gene Milford,Musical,English,6.1,Robert Fellows,Allen Boretz,RKO Radio Pictures
0086586,Liv Ullmann,Peter James,null,Henri Safran,Don Saunders,Drama,English,6.1,Basil Appleby,Henrik Ibsen,Aquarius TV
1119123,Geena Davis,Ben Nott,Mary Lou Da Roza,Andrew Lancaster,Roland Gallois,Comedy,English,6.1,Anthony Anderson,Brian Carbee,Emerging Pictures
0068659,Albert Henderson,Peter Powell,Sharon Sachs,Robert Downey Sr.,Bud S. Smith,Comedy,English,6.1,Cyma Rubin,Robert Downey Sr,Cinema 5 Distributing
0091862,Kerrigan Mahan,Yoshizaki Kenichi,null,Noboru Ishiguro,Jonathon Braun,Animation,English,6.1,Ahmed Agrama,Carl Macek,Cannon Film Distributors
0090297,Michael Caine,Douglas Slocombe,Jenny Hawkins,Dick Clement,John Victor-Smith,Adventure,English,6.1,George Harrison,Dick Clement,Atlantic Releasing Corporation
0165382,Malick Bowens,John Hooper,null,David Wheatley,Tariq Anwar,Drama,English,6.1,null,William Nicholson,Alive Vertrieb und Marketing
0884805,Mehmet Kurtulus,Torben Forsberg,null,Osman Sinav,Kemalettin Osmanli,Action,English,6.1,Hasan Ali Erol,Aybars Bora Kahyaoglu,Cinegraph
0057259,Richard Widmark,Christopher Challis,Ron Beck,Jack Cardiff,Geoffrey Foot,Adventure,English,6.1,Irving Allen,Berkely Mather,Columbia Pictures Corporation
0236784,Pierce Brosnan,Philippe Rousselot,Carol Graham,John Boorman,Ron Davis,Drama,English,6.1,Kevan Barker,John le Carré,Sony Pictures Entertainment (SPE)
0029283,Edna May Oliver,Charles Lawton Jr.,Dolly Tree,George B. Seitz,William S. Gray,Comedy,English,6.1,null,Herman J. Mankiewicz,Metro-Goldwyn-Mayer (MGM)
0301684,Robert Carlyle,Brian Tufano,Sophie Doncaster,Shane Meadows,Peter Beston,Comedy,English,6.1,Andrea Calderwood,Paul Fraser,Crest International
1000768,Daniel Kruse,James Burgess,null,Danny Carrales,James Burgess,Adventure,English,6.1,Michele Campbell,John Bunyan,null
0053848,Elvis Presley,Loyal Griggs,John A. Anderson,Norman Taurog,null,Comedy,English,6.1,Paul Nathan,Edmund Beloin,Paramount Pictures
2209792,David A.R. White,Mark Dadlani,Vuttinun Khumartdee,Bobby Smyth,Vance Null,Drama,English,6.1,Akarapong Bunchalaksi,Sean Paul Murphy,Pure Flix Entertainment
