id,cast,cinematographer,costume department,director,editor,genres,language,rating,producer,writer,distributor
1773764,Aida Elkashef,Pankaj Kumar,null,Anand Gandhi,Sanyukta Kaza,Drama,English,8.3,Ruchi Bhimani,Anand Gandhi,null
0071315,Jack Nicholson,John A. Alonzo,Richard Bruno,Roman Polanski,Sam O'Steen,Drama,English,8.3,C.O. Erickson,Robert Towne,Paramount Pictures
0055031,Spencer Tracy,Ernest Laszlo,Jean Louis,Stanley Kramer,Frederic Knudtson,Drama,English,8.3,Stanley Kramer,Abby Mann,United Artists
0113277,Al Pacino,Dante Spinotti,Darryl M. Athons,Michael Mann,Pasquale Buba,Action,English,8.3,Pieter Jan Brugge,Michael Mann,Warner Bros.
0025536,Gloria Swanson,Ernest Palmer,Eugene Joseff,Joe May,null,Comedy,English,8.3,Erich Pommer,Jerome Kern,Fox Film Corporation
3014454,Ron Becks,Spike Hasegawa,null,Gregory Hatanaka,Sean Cain,Action,English,8.3,Ron Becks,Ron Becks,Cinema Epoch
0095016,Bruce Willis,Jan de Bont,Barry Francis Delaney,John McTiernan,John F. Link,Action,English,8.2,Charles Gordon,Roderick Thorp,Twentieth Century Fox Film Corporation
1454700,Heather Fields,Thomas Barney,null,Dianna Collett,Dianna Collett,Drama,English,8.2,Paul Collett,Paul Collett,Indie Rights
0050212,William Holden,Jack Hildyard,John Wilson-Apperson,David Lean,Peter Taylor,Adventure,English,8.2,Sam Spiegel,Pierre Boulle,Columbia Pictures
0787524,Jeremy Irons,Larry Smith,Anna Beckett,Matt Brown,JC Bond,Biography,English,8.2,Nick Bain,Matt Brown,Ascot Elite Entertainment Group
0119550,Kristina Wayborn,Dan Alexandru,Hilda Canciu,Linda Shayne,Carol Oblath,Family,English,8.2,Robert Bernacchi,Timothy Michaels,Hollywood Audiovision Productions
